CTFP,CensusTract_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
39095009000,12479,4.0,13.0,12.0,12.0,1.0,11.0,19.0,25.0,-1.5870465,0.0370249,0.045441873,0.029615005,0.2771787,0.0,0.10880195,0.0036674817
39095009101,4662,3.0,13.0,28.0,10.0,1.0,2.0,1.0,42.0,-1.6271858,0.037752036,0.075177304,0.025848646,0.32868704,0.0,0.043426532,0.0
39095009102,5506,40.0,40.0,58.0,55.0,27.0,46.0,34.0,23.0,-0.30876303,0.083087146,0.13262099,0.10231516,0.26914451,0.022349026,0.27722302,0.0099857347
39095009201,8224,3.0,7.0,14.0,10.0,19.0,4.0,24.0,33.0,-1.6234542,0.024666995,0.049090911,0.024655547,0.30135611,0.016393442,0.063435495,0.0060584461
39095009202,7114,6.0,16.0,35.0,16.0,5.0,8.0,22.0,11.0,-1.4580812,0.042007167,0.087657429,0.035546474,0.2273743,0.0047204066,0.094045028,0.0050835148
39095009300,1608,6.0,5.0,20.0,20.0,19.0,3.0,26.0,62.0,-1.4888232,0.021766169,0.060291059,0.041004185,0.3986755,0.016366612,0.045826513,0.006546645
39095009400,2649,47.0,41.0,61.0,60.0,50.0,34.0,57.0,45.0,-0.13298644,0.085692711,0.14130434,0.1150685,0.33579335,0.045053869,0.21743388,0.024485799
39095009500,3010,13.0,26.0,16.0,38.0,1.0,3.0,47.0,33.0,-1.1684084,0.059136212,0.052760735,0.070490368,0.30012006,0.0,0.045112781,0.01754386
39095009600,3379,18.0,43.0,44.0,24.0,13.0,6.0,1.0,38.0,-0.99680799,0.089556679,0.10348163,0.047482602,0.315,0.010954617,0.074334897,0.0
39095009700,3101,38.0,60.0,23.0,43.0,32.0,23.0,24.0,60.0,-0.38536361,0.12908444,0.066523604,0.078691423,0.38950098,0.026632302,0.16838488,0.0060137459
39095009800,4216,22.0,28.0,47.0,44.0,32.0,5.0,23.0,55.0,-0.85821009,0.062113278,0.10982212,0.080619663,0.36874411,0.027108435,0.073493972,0.0054216869
39095009900,4381,33.0,26.0,36.0,49.0,39.0,48.0,24.0,57.0,-0.51252735,0.059518296,0.090097405,0.089937665,0.37899545,0.033943966,0.29094827,0.0059267241
