MSA,year,code,count,count_patient,prevalence
15940,2018,S00-T88,6564,33699,0.19478322798896108
15940,2018,V00-Y99,2207,33699,0.06549155761298554
15940,2018,Z00-Z99,27099,33699,0.804148491053147
15940,2019,A00-B99,3863,30714,0.12577326300709774
15940,2019,C00-D49,3724,30714,0.1212476395129257
15940,2019,D50-D89,2052,30714,0.06680992381324477
15940,2019,E00-E89,10791,30714,0.35133815198280915
15940,2019,F01-F99,9113,30714,0.2967050856287035
15940,2019,G00-G99,5848,30714,0.1904017711792668
15940,2019,H00-H59,4237,30714,0.1379501204662369
15940,2019,H60-H95,4027,30714,0.13111284756137268
15940,2019,I00-I99,6851,30714,0.22305788891059453
15940,2019,J00-J99,11821,30714,0.384873347659048
15940,2019,K00-K95,6350,30714,0.2067461092661327
15940,2019,L00-L99,6417,30714,0.20892752490720845
15940,2019,M00-M99,10680,30714,0.3477241648759523
15940,2019,N00-N99,6440,30714,0.2096763690825031
15940,2019,O00-O9A,987,30714,0.03213518265286189
15940,2019,P00-P96,346,30714,0.011265221071823924
15940,2019,Q00-Q99,812,30714,0.026437455232141693
15940,2019,R00-R99,15937,30714,0.5188838965943869
15940,2019,S00-T88,6032,30714,0.196392524581624
15940,2019,V00-Y99,2327,30714,0.07576349547437651
15940,2019,Z00-Z99,25217,30714,0.8210262421045778
15940,2020,A00-B99,1742,13382,0.13017486175459572
15940,2020,C00-D49,1457,13382,0.10887759677178299
15940,2020,D50-D89,767,13382,0.05731579733971006
15940,2020,E00-E89,4408,13382,0.32939769840083694
15940,2020,F01-F99,3928,13382,0.2935286205350471
15940,2020,G00-G99,2359,13382,0.17628157226124644
15940,2020,H00-H59,1281,13382,0.0957256015543267
15940,2020,H60-H95,1269,13382,0.09482887460768197
15940,2020,I00-I99,2782,13382,0.20789119713047377
15940,2020,J00-J99,4269,13382,0.31901061126886865
15940,2020,K00-K95,2454,13382,0.1833806605888507
15940,2020,L00-L99,2628,13382,0.1963832013151995
15940,2020,M00-M99,4308,13382,0.32192497384546404
15940,2020,N00-N99,2536,13382,0.18950829472425645
15940,2020,O00-O9A,397,13382,0.02966671648483037
15940,2020,P00-P96,145,13382,0.010835450605290689
15940,2020,Q00-Q99,314,13382,0.023464355103870873
15940,2020,R00-R99,6756,13382,0.5048572709609924
15940,2020,S00-T88,2409,13382,0.1800179345389329
15940,2020,U00-U85,440,13382,0.03287998804364071
15940,2020,V00-Y99,776,13382,0.057988342549693615
15940,2020,Z00-Z99,11151,13382,0.8332835151696308
15940,2021,A00-B99,1899,13834,0.13727049298828972
15940,2021,C00-D49,1612,13834,0.11652450484314009
15940,2021,D50-D89,913,13834,0.0659968194303889
15940,2021,E00-E89,4723,13834,0.3414052334827237
15940,2021,F01-F99,4275,13834,0.309021251987856
15940,2021,G00-G99,2534,13834,0.18317189533034553
15940,2021,H00-H59,1457,13834,0.1053202255312997
15940,2021,H60-H95,1358,13834,0.09816394390631777
15940,2021,I00-I99,2941,13834,0.212592164233049
15940,2021,J00-J99,4230,13834,0.3057683967037733
15940,2021,K00-K95,2633,13834,0.19032817695532744
15940,2021,L00-L99,2848,13834,0.20586959664594479
15940,2021,M00-M99,4596,13834,0.33222495301431254
15940,2021,N00-N99,2656,13834,0.1919907474338586
15940,2021,O00-O9A,363,13834,0.026239699291600405
15940,2021,P00-P96,128,13834,0.009252566141390776
15940,2021,Q00-Q99,364,13834,0.02631198496458002
15940,2021,R00-R99,7234,13834,0.5229145583345381
15940,2021,S00-T88,2541,13834,0.18367789504120283
15940,2021,U00-U85,1102,13834,0.07965881162353622
15940,2021,V00-Y99,816,13834,0.0589851091513662
15940,2021,Z00-Z99,11951,13834,0.8638860777793841
17140,2016,A00-B99,41345,301089,0.13731820159487726
17140,2016,C00-D49,40101,301089,0.13318653288562518
17140,2016,D50-D89,15007,301089,0.04984240540172507
17140,2016,E00-E89,84825,301089,0.2817273297928519
17140,2016,F01-F99,69111,301089,0.22953678148321593
17140,2016,G00-G99,47306,301089,0.15711633437289307
17140,2016,H00-H59,44269,301089,0.14702961582787813
17140,2016,H60-H95,40042,301089,0.1329905775368745
17140,2016,I00-I99,61003,301089,0.20260786677693307
17140,2016,J00-J99,118851,301089,0.3947371043113498
17140,2016,K00-K95,52165,301089,0.17325441978949746
17140,2016,L00-L99,68725,301089,0.2282547685235927
17140,2016,M00-M99,96223,301089,0.31958324614980954
17140,2016,N00-N99,58921,301089,0.19569296786000154
17140,2016,O00-O9A,11970,301089,0.03975568685671014
17140,2016,P00-P96,5689,301089,0.018894745407504094
17140,2016,Q00-Q99,9307,301089,0.030911125946148813
17140,2016,R00-R99,141335,301089,0.4694126985708545
17140,2016,S00-T88,58681,301089,0.19489586135660883
17140,2016,V00-Y99,9279,301089,0.030818130187419666
17140,2016,Z00-Z99,242816,301089,0.8064592196991587
17140,2017,A00-B99,38098,258745,0.14724149258922878
17140,2017,C00-D49,35207,258745,0.1360683298227985
17140,2017,D50-D89,12847,258745,0.049651200989391096
17140,2017,E00-E89,72709,258745,0.2810063962588649
17140,2017,F01-F99,59924,258745,0.2315948134263464
17140,2017,G00-G99,41690,258745,0.1611238864519121
17140,2017,H00-H59,36320,258745,0.1403698622195598
17140,2017,H60-H95,34170,258745,0.13206052290865525
17140,2017,I00-I99,51338,258745,0.19841156350847358
17140,2017,J00-J99,102747,258745,0.3970975284546561
17140,2017,K00-K95,44277,258745,0.17112214728787029
17140,2017,L00-L99,59528,258745,0.23006434906954723
17140,2017,M00-M99,82588,258745,0.3191868441902259
17140,2017,N00-N99,49134,258745,0.18989352451255095
17140,2017,O00-O9A,10128,258745,0.039142785367833194
17140,2017,P00-P96,4924,258745,0.01903031942646235
17140,2017,Q00-Q99,7994,258745,0.030895283000637694
17140,2017,R00-R99,123093,258745,0.475730931998686
17140,2017,S00-T88,49931,258745,0.19297377727105838
17140,2017,V00-Y99,8314,258745,0.03213202187481884
17140,2017,Z00-Z99,212745,258745,0.8222187868364607
17140,2018,A00-B99,28524,191182,0.14919814626900021
17140,2018,C00-D49,26862,191182,0.1405048592440711
17140,2018,D50-D89,9690,191182,0.05068468788902721
17140,2018,E00-E89,55830,191182,0.2920253998807419
17140,2018,F01-F99,47425,191182,0.2480620560513019
17140,2018,G00-G99,32097,191182,0.1678871441872143
17140,2018,H00-H59,25971,191182,0.1358443786548943
17140,2018,H60-H95,25326,191182,0.13247063008023768
17140,2018,I00-I99,38993,191182,0.2039574855373414
17140,2018,J00-J99,75784,191182,0.3963971503593435
17140,2018,K00-K95,33902,191182,0.1773284095783076
17140,2018,L00-L99,44375,191182,0.23210867131842955
17140,2018,M00-M99,62416,191182,0.32647424966785576
17140,2018,N00-N99,36324,191182,0.1899969662415918
17140,2018,O00-O9A,6945,191182,0.0363266416294421
17140,2018,P00-P96,3248,191182,0.01698904708602274
17140,2018,Q00-Q99,5932,191182,0.031028025650950402
17140,2018,R00-R99,94350,191182,0.4935088031300018
17140,2018,S00-T88,36882,191182,0.19291565105501565
17140,2018,V00-Y99,5262,191182,0.027523511627663692
17140,2018,Z00-Z99,160438,191182,0.8391898818926468
17140,2019,A00-B99,24941,171874,0.14511211701595356
17140,2019,C00-D49,24879,171874,0.1447513876444372
17140,2019,D50-D89,8588,171874,0.049966836170683177
17140,2019,E00-E89,50567,171874,0.29420971176559574
17140,2019,F01-F99,44970,171874,0.2616451586627413
17140,2019,G00-G99,29294,171874,0.17043880982580262
17140,2019,H00-H59,24406,171874,0.14199937163270768
17140,2019,H60-H95,23767,171874,0.1382815318198215
17140,2019,I00-I99,34712,171874,0.20196190232379535
17140,2019,J00-J99,69586,171874,0.40486635558606887
17140,2019,K00-K95,30254,171874,0.17602429686863633
17140,2019,L00-L99,40480,171874,0.2355213703061545
17140,2019,M00-M99,56837,171874,0.33068992401410335
17140,2019,N00-N99,32517,171874,0.18919091892898285
17140,2019,O00-O9A,5853,171874,0.034054016314276736
17140,2019,P00-P96,2697,171874,0.015691727660960938
17140,2019,Q00-Q99,5176,171874,0.030115084305945054
17140,2019,R00-R99,86494,171874,0.5032407461279774
17140,2019,S00-T88,33227,171874,0.19332185205441196
17140,2019,U00-U85,1,171874,5.818215669618441e-06
17140,2019,V00-Y99,4803,171874,0.027944889861177373
17140,2019,Z00-Z99,144883,171874,0.8429605408613287
17140,2020,A00-B99,21041,161873,0.12998461757056456
17140,2020,C00-D49,21700,161873,0.13405571034082275
17140,2020,D50-D89,8033,161873,0.049625323556121155
17140,2020,E00-E89,46381,161873,0.2865270922266221
17140,2020,F01-F99,42495,161873,0.2625206180153577
17140,2020,G00-G99,26914,161873,0.16626614691764532
17140,2020,H00-H59,19618,161873,0.12119377536710878
17140,2020,H60-H95,16266,161873,0.10048618361307939
17140,2020,I00-I99,31751,161873,0.19614759719039
17140,2020,J00-J99,52725,161873,0.32571831003317414
17140,2020,K00-K95,26368,161873,0.1628931322703601
17140,2020,L00-L99,35201,161873,0.21746060182982957
17140,2020,M00-M99,49767,161873,0.3074447251857938
17140,2020,N00-N99,28742,161873,0.1775589505352962
17140,2020,O00-O9A,5603,161873,0.03461355507095069
17140,2020,P00-P96,2526,161873,0.015604826005572269
17140,2020,Q00-Q99,4547,161873,0.028089922346530922
17140,2020,R00-R99,80395,161873,0.4966547849239836
17140,2020,S00-T88,27127,161873,0.1675819932910368
17140,2020,U00-U85,5010,161873,0.030950189345968753
17140,2020,V00-Y99,4445,161873,0.027459798731104015
17140,2020,Z00-Z99,141529,161873,0.8743212271348526
17140,2021,A00-B99,19890,149289,0.13323151739244016
17140,2021,C00-D49,21073,149289,0.14115574489748073
17140,2021,D50-D89,8001,149289,0.053594035729357156
17140,2021,E00-E89,45136,149289,0.3023397571153936
17140,2021,F01-F99,41086,149289,0.2752111676010959
17140,2021,G00-G99,26209,149289,0.1755588154519087
17140,2021,H00-H59,17107,149289,0.11458982242496098
17140,2021,H60-H95,15658,149289,0.10488381595429
17140,2021,I00-I99,30037,149289,0.20120035635579311
17140,2021,J00-J99,48721,149289,0.3263535826484202
17140,2021,K00-K95,25603,149289,0.17149957465051008
17140,2021,L00-L99,33324,149289,0.22321805357394048
17140,2021,M00-M99,48389,149289,0.32412970814996417
17140,2021,N00-N99,26684,149289,0.17874056360482019
17140,2021,O00-O9A,4961,149289,0.033230847550723766
17140,2021,P00-P96,2290,149289,0.015339375305615284
17140,2021,Q00-Q99,4417,149289,0.029586908613494632
17140,2021,R00-R99,76842,149289,0.514719771717943
17140,2021,S00-T88,27099,149289,0.1815204067278902
17140,2021,U00-U85,11629,149289,0.07789589320043673
17140,2021,V00-Y99,4580,149289,0.030678750611230567
17140,2021,Z00-Z99,134765,149289,0.9027121891097134
17140,2022,A00-B99,20051,142852,0.14036205303390922
17140,2022,C00-D49,21760,142852,0.15232548371741383
17140,2022,D50-D89,8467,142852,0.05927113376081539
17140,2022,E00-E89,45208,142852,0.3164673928261417
17140,2022,F01-F99,41055,142852,0.2873953462324644
17140,2022,G00-G99,25729,142852,0.1801094839414219
17140,2022,H00-H59,18683,142852,0.13078570828549826
17140,2022,H60-H95,19769,142852,0.13838798196735083
17140,2022,I00-I99,29728,142852,0.20810349172570214
17140,2022,J00-J99,54563,142852,0.38195475037101334
17140,2022,K00-K95,26124,142852,0.18287458348500546
17140,2022,L00-L99,33791,142852,0.236545515638563
17140,2022,M00-M99,47093,142852,0.32966286786324306
17140,2022,N00-N99,26685,142852,0.18680172486209504
17140,2022,O00-O9A,4573,142852,0.03201215243748775
17140,2022,P00-P96,2004,142852,0.014028505026180943
