ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
45874,2178,14.0,14.0,41.0,50.0,24.0,6.0,1.0,5.0,-1.1703171,0.050863277,0.11145511,0.097160883,0.18485059,0.031042129,0.12305987,0.0
45875,11207,20.0,18.0,38.0,41.0,42.0,19.0,16.0,4.0,-0.96493047,0.058584582,0.10635734,0.081238173,0.17983095,0.04647436,0.20306776,0.0077838828
45876,781,2.0,1.0,3.0,2.0,9.0,22.0,1.0,2.0,-1.7937539,0.010243278,0.038135592,0.016513761,0.15487571,0.017241379,0.21839081,0.0
45877,2200,9.0,31.0,8.0,15.0,4.0,16.0,7.0,22.0,-1.3709857,0.079981506,0.055472262,0.043708608,0.23340961,0.01039261,0.18822171,0.0034642033
45879,6173,45.0,51.0,67.0,50.0,54.0,30.0,29.0,65.0,-0.16648352,0.11624856,0.15512307,0.09798754,0.31343675,0.058069684,0.24749699,0.013215859
45880,2754,29.0,29.0,54.0,46.0,14.0,16.0,75.0,34.0,-0.6371249,0.076190479,0.13124999,0.091103964,0.25539792,0.022747952,0.18835305,0.04276615
45881,1355,28.0,62.0,58.0,43.0,2.0,13.0,1.0,10.0,-0.67880058,0.14095941,0.13824885,0.086099587,0.20534459,0.0055658626,0.17439704,0.0
45882,2852,24.0,30.0,23.0,46.0,62.0,16.0,1.0,20.0,-0.81632268,0.077741109,0.08343558,0.090422943,0.23047376,0.067901231,0.18959436,0.0
45883,3899,19.0,32.0,3.0,33.0,31.0,11.0,82.0,1.0,-0.98156607,0.081353307,0.033575319,0.069787234,0.12687224,0.037147101,0.16196136,0.054977711
45884,71,30.0,1.0,1.0,99.0,1.0,89.0,1.0,70.0,-0.61596346,0.0,0.0,0.39130434,0.32608697,0.0,0.59090906,0.0
45885,12594,32.0,34.0,47.0,46.0,50.0,34.0,26.0,9.0,-0.56244493,0.084898815,0.12002243,0.089962125,0.20362233,0.054911647,0.26467794,0.011780353
45886,534,29.0,79.0,44.0,6.0,5.0,35.0,1.0,13.0,-0.64883661,0.19101124,0.11678832,0.026455026,0.21518987,0.013100437,0.27074236,0.0
45887,4279,54.0,58.0,72.0,59.0,50.0,34.0,71.0,70.0,0.09664394,0.13233902,0.16522491,0.11468225,0.32544377,0.054375,0.264375,0.038125001
45888,262,33.0,20.0,26.0,75.0,1.0,45.0,1.0,98.0,-0.52089363,0.062015504,0.087499999,0.15887851,0.50549453,0.0,0.30833334,0.0
45889,1663,6.0,2.0,34.0,22.0,18.0,1.0,1.0,1.0,-1.5072898,0.022850271,0.10136452,0.052924789,0.14527363,0.025684932,0.02739726,0.0
45890,606,3.0,1.0,13.0,13.0,9.0,8.0,17.0,3.0,-1.6917908,0.0099667776,0.06666667,0.039719626,0.1763285,0.016949153,0.13983051,0.0084745763
45891,14956,52.0,64.0,78.0,47.0,59.0,34.0,9.0,38.0,0.036322355,0.14581206,0.1801759,0.092558458,0.26148492,0.064557366,0.26573986,0.0047938637
45894,815,8.0,4.0,4.0,34.0,1.0,8.0,1.0,16.0,-1.4191108,0.029447854,0.041666668,0.071428575,0.22307692,0.0,0.14102565,0.0
45895,17876,32.0,39.0,70.0,39.0,37.0,30.0,21.0,11.0,-0.54874104,0.094812877,0.16102332,0.078729391,0.21032211,0.042508252,0.2479208,0.010165016
45896,1754,33.0,57.0,40.0,18.0,49.0,12.0,63.0,52.0,-0.51256561,0.13078241,0.11015119,0.047454704,0.28545287,0.053391054,0.16738817,0.030303031
45897,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45898,938,55.0,84.0,61.0,77.0,31.0,5.0,71.0,43.0,0.13535941,0.21321961,0.14285715,0.16666667,0.27124774,0.037313432,0.11442786,0.037313432
45899,125,6.0,8.0,58.0,1.0,29.0,14.0,1.0,1.0,-1.4969475,0.039999999,0.1388889,0.01010101,0.039999999,0.035714287,0.17857143,0.0
46703,18264,29.0,34.0,39.0,44.0,55.0,37.0,4.0,25.0,-0.63930899,0.085082345,0.10842614,0.087047637,0.23988639,0.059466667,0.27759999,0.0014666667
46711,8770,79.0,93.0,54.0,80.0,91.0,37.0,91.0,46.0,0.8812142,0.27887323,0.13113062,0.17886178,0.27517539,0.1607077,0.27792111,0.089937337
46721,5084,45.0,44.0,79.0,70.0,30.0,19.0,51.0,23.0,-0.16955513,0.10341325,0.18305814,0.1430696,0.23554604,0.036508843,0.20479178,0.022818027
46733,18943,29.0,41.0,50.0,49.0,14.0,26.0,20.0,19.0,-0.65004563,0.097199701,0.12495142,0.096078433,0.22904527,0.022537781,0.23514852,0.0097707137
46737,7329,20.0,38.0,27.0,39.0,5.0,11.0,31.0,19.0,-0.96104747,0.091588266,0.08973214,0.078501977,0.22716682,0.012867647,0.16207108,0.013786765
46742,3290,30.0,60.0,4.0,41.0,56.0,11.0,6.0,19.0,-0.61218548,0.13768783,0.043771043,0.081732914,0.22742802,0.060443763,0.15761286,0.0030604438
46743,2050,44.0,56.0,48.0,88.0,26.0,2.0,66.0,14.0,-0.20617633,0.12731707,0.12190476,0.22571002,0.2169967,0.0327654,0.078636959,0.0327654
46772,3087,66.0,88.0,17.0,96.0,98.0,2.0,93.0,57.0,0.45020452,0.23517978,0.073806077,0.32395333,0.29548088,0.38529783,0.069708489,0.097591892
46773,3392,7.0,11.0,15.0,29.0,25.0,4.0,9.0,8.0,-1.4485281,0.045413535,0.070776254,0.064419799,0.19885278,0.032336298,0.10428456,0.0048504448
46797,3915,17.0,16.0,15.0,53.0,34.0,10.0,34.0,15.0,-1.06455,0.055179592,0.070736431,0.10325874,0.22074582,0.040085897,0.1531854,0.015032212
47003,890,62.0,40.0,91.0,79.0,82.0,76.0,9.0,17.0,0.33078036,0.096511625,0.23148148,0.17398119,0.2238806,0.10772834,0.45901638,0.0046838406
47010,220,52.0,100.0,100.0,1.0,1.0,72.0,1.0,100.0,0.046519548,0.41818181,0.53571427,0.0,0.61445785,0.0,0.43269232,0.0
47012,9396,21.0,26.0,33.0,53.0,35.0,18.0,15.0,8.0,-0.89506334,0.071543664,0.099493489,0.10304449,0.20003295,0.040291134,0.19729659,0.0072783986
47025,22794,29.0,37.0,51.0,41.0,54.0,27.0,12.0,30.0,-0.63932198,0.090392955,0.12705244,0.081951156,0.24689507,0.058582786,0.2378391,0.0063143126
47060,5942,11.0,10.0,16.0,38.0,21.0,7.0,11.0,59.0,-1.3038305,0.04379186,0.071921751,0.077717774,0.29955834,0.028509719,0.13606912,0.0056155506
47341,2382,37.0,27.0,55.0,68.0,63.0,30.0,29.0,32.0,-0.39686194,0.073467672,0.13251156,0.13904068,0.25093168,0.068357222,0.25027564,0.01323043
47353,5508,32.0,29.0,37.0,63.0,37.0,30.0,48.0,40.0,-0.5561226,0.076980293,0.10519218,0.1255572,0.265625,0.042562928,0.24851258,0.021052632
47355,2752,54.0,72.0,57.0,70.0,13.0,31.0,38.0,59.0,0.1070153,0.17069598,0.1368421,0.14475025,0.29960871,0.021663778,0.25303292,0.016464472
47371,12200,57.0,61.0,60.0,61.0,83.0,38.0,21.0,35.0,0.18415901,0.13995637,0.1424862,0.12155311,0.2567549,0.10946622,0.28065056,0.010008341
47374,45571,75.0,75.0,82.0,69.0,73.0,63.0,26.0,70.0,0.74390239,0.1773856,0.19214392,0.1398668,0.32486692,0.084030911,0.38554412,0.011966087
47390,4960,71.0,76.0,87.0,78.0,30.0,34.0,69.0,71.0,0.61751157,0.18296146,0.2104845,0.17027502,0.32906574,0.036205318,0.26718608,0.035288725
48133,5227,41.0,48.0,56.0,60.0,54.0,5.0,7.0,78.0,-0.28355569,0.1110898,0.13443708,0.11794734,0.34871179,0.057977736,0.11085343,0.0037105752
48144,9545,12.0,31.0,13.0,33.0,25.0,4.0,15.0,25.0,-1.2320353,0.079089463,0.065645516,0.069825433,0.23951782,0.032258064,0.10978148,0.0075442246
48182,22463,11.0,20.0,21.0,23.0,36.0,11.0,14.0,31.0,-1.2857865,0.062014461,0.081089847,0.05516804,0.24897613,0.041666668,0.15774617,0.0070009031
49228,5310,30.0,39.0,67.0,47.0,15.0,23.0,7.0,31.0,-0.61533308,0.093560606,0.15516064,0.092663042,0.24882352,0.023441162,0.22315986,0.003750586
49232,2716,72.0,91.0,36.0,87.0,87.0,13.0,87.0,91.0,0.63849562,0.25773194,0.10339943,0.21772301,0.40449437,0.12696747,0.17208815,0.071353622
49248,821,30.0,43.0,37.0,66.0,3.0,4.0,1.0,72.0,-0.60436398,0.10221675,0.10599078,0.13210702,0.32985386,0.0092592593,0.098765433,0.0
49255,2617,79.0,99.0,32.0,89.0,86.0,19.0,95.0,88.0,0.86902851,0.36517718,0.096938774,0.23213021,0.3899467,0.12582782,0.20397352,0.12185431
49256,3750,57.0,78.0,58.0,63.0,42.0,30.0,8.0,76.0,0.1918789,0.1894452,0.13807106,0.12405567,0.34068844,0.047028087,0.24820378,0.0039190073
49267,3988,10.0,11.0,42.0,22.0,18.0,5.0,17.0,19.0,-1.3191602,0.046130579,0.11311475,0.053752534,0.22785315,0.025834909,0.11720227,0.0081915567
49288,1491,70.0,86.0,25.0,78.0,70.0,45.0,67.0,89.0,0.58572787,0.22169812,0.087378643,0.16832669,0.3946524,0.079335794,0.30811808,0.033210333
